UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Predicted_Value
1373,M16232,M,298.8,310.3,1573,41.8,91,0,No Failure
420,M15279,M,297.3,308.3,1501,38.2,2,0,No Failure
926,H30339,H,295.6,306.1,1623,30.9,210,0,No Failure
1624,L48803,L,297.7,307.6,1921,22.9,68,0,No Failure
26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure
242,L47421,L,298.0,308.1,1777,24.3,200,0,No Failure
423,L47602,L,297.3,308.3,1333,55.2,11,0,No Failure
1284,L48463,L,298.3,309.4,1356,45.4,96,0,No Failure
13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure
1906,L49085,L,297.9,307.6,1687,29.1,176,0,No Failure
1723,M16582,M,298.2,307.7,1952,21.6,93,0,No Failure
1058,L48237,L,296.8,307.8,1573,36.4,126,0,No Failure
171,M15030,M,298.4,308.2,1610,35.0,24,0,No Failure
225,L47404,L,298.3,308.6,1584,29.3,162,0,No Failure
1221,L48400,L,297.0,308.2,1577,29.4,130,0,No Failure
770,L47949,L,296.9,308.0,1343,44.5,15,0,No Failure
823,M15682,M,296.7,307.6,1547,34.7,150,0,No Failure
1167,M16026,M,297.1,308.1,1506,37.7,210,0,No Failure
389,L47568,L,297.6,308.7,1455,48.2,145,0,No Failure
719,L47898,L,297.5,308.8,1477,39.0,127,0,No Failure
945,M15804,M,295.7,306.3,1712,28.5,43,0,No Failure
987,H30400,H,296.4,307.1,1638,32.5,146,0,No Failure
1004,L48183,L,296.2,307.1,1444,46.7,194,0,No Failure
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure
164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure
461,H29874,H,297.3,308.6,1431,42.0,109,0,No Failure
1091,L48270,L,296.9,307.7,1464,41.4,6,0,No Failure
1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure
135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure
697,M15556,M,297.6,309.0,1815,25.3,66,0,No Failure
1386,M16245,M,298.9,310.2,1603,36.1,126,0,No Failure
326,L47505,L,297.8,308.5,1699,27.8,199,0,No Failure
1764,L48943,L,298.2,307.6,1511,31.0,209,1,No Failure
628,L47807,L,298.4,310.1,1455,42.2,94,0,No Failure
307,L47486,L,297.8,308.4,1374,47.1,150,0,No Failure
427,L47606,L,297.4,308.5,1501,44.9,20,0,No Failure
548,M15407,M,297.5,309.4,1482,39.3,112,0,No Failure
1749,H31162,H,298.4,307.7,1626,31.1,166,0,No Failure
1113,M15972,M,296.5,307.4,1350,55.6,69,0,No Failure
1668,L48847,L,298.2,307.9,1769,27.2,188,0,No Failure
1745,M16604,M,298.5,308.0,1461,51.9,157,0,No Failure
1727,L48906,L,298.3,307.8,1906,22.1,104,0,No Failure
1893,M16752,M,297.8,307.4,1438,43.6,141,0,No Failure
1479,L48658,L,298.3,309.4,1568,35.8,140,0,No Failure
947,L48126,L,295.6,306.2,1287,54.8,49,0,No Failure
596,M15455,M,297.6,309.6,1330,53.1,7,0,No Failure
1599,L48778,L,297.9,308.0,1501,36.7,4,0,No Failure
1335,L48514,L,299.0,310.4,1365,49.1,226,1,No Failure
1266,L48445,L,297.9,309.4,1558,35.7,39,0,No Failure
468,L47647,L,297.2,308.5,2182,16.5,127,0,No Failure
1868,L49047,L,298.1,307.9,1502,41.8,79,0,No Failure
1135,M15994,M,296.9,307.8,1426,50.7,130,0,No Failure
1600,L48779,L,297.9,308.0,1490,46.2,6,0,No Failure
1483,M16342,M,298.1,309.1,1448,52.5,150,0,No Failure
1995,M16854,M,298.2,307.9,1403,45.1,193,0,No Failure
1949,L49128,L,298.1,308.1,1410,45.8,71,0,No Failure
1019,L48198,L,296.3,307.2,1291,58.6,29,0,No Failure
1261,L48440,L,297.6,309.0,1528,33.8,22,0,No Failure
1758,M16617,M,298.1,307.4,1335,56.2,190,0,No Failure
1755,M16614,M,298.0,307.4,1463,46.5,182,0,No Failure
1143,L48322,L,296.9,307.9,1423,43.9,149,0,No Failure
1770,L48949,L,298.4,307.9,1981,23.2,16,0,No Failure
1712,L48891,L,298.2,307.8,1355,51.3,70,0,No Failure
866,L48045,L,295.9,306.6,1414,50.2,51,0,No Failure
1660,L48839,L,298.1,308.0,1697,31.0,164,0,No Failure
1586,L48765,L,298.2,308.3,1400,48.7,194,0,No Failure
1202,L48381,L,296.9,308.0,1658,41.0,74,0,No Failure
367,M15226,M,297.6,308.5,1552,40.9,90,0,No Failure
344,L47523,L,297.5,308.3,1388,48.6,27,0,No Failure
346,L47525,L,297.5,308.3,1585,32.9,32,0,No Failure
1242,M16101,M,297.1,308.5,1621,32.4,194,0,No Failure
498,L47677,L,297.4,309.0,1505,39.2,209,0,No Failure
800,M15659,M,297.0,307.8,1579,34.1,94,0,No Failure
453,M15312,M,297.4,308.6,1643,31.0,89,0,No Failure
1677,H31090,H,297.9,307.6,1418,43.0,207,0,No Failure
841,L48020,L,296.6,307.5,1582,37.9,197,0,No Failure
448,M15307,M,297.6,308.7,1376,59.9,74,0,No Failure
1178,M16037,M,297.2,308.3,1604,39.4,9,0,No Failure
896,M15755,M,295.6,306.2,1435,51.6,126,0,No Failure
358,L47537,L,297.6,308.4,1517,34.2,66,0,No Failure
572,M15431,M,297.8,309.8,1676,29.0,178,0,No Failure
1852,M16711,M,297.7,307.3,1365,49.2,36,0,No Failure
1366,L48545,L,298.7,310.1,1676,33.5,70,0,No Failure
685,L47864,L,297.7,309.0,1538,43.2,30,0,No Failure
1364,L48543,L,298.7,310.1,1433,54.6,66,0,No Failure
834,L48013,L,296.6,307.4,1616,28.0,175,0,No Failure
334,L47513,L,297.5,308.2,1647,31.3,3,0,No Failure
71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure
149,M15008,M,298.3,308.3,1379,48.0,181,0,No Failure
1115,H30528,H,296.4,307.3,1540,37.4,75,0,No Failure
1859,M16718,M,297.8,307.4,1488,36.1,57,0,No Failure
506,L47685,L,297.6,309.3,1610,35.0,6,0,No Failure
1722,L48901,L,298.2,307.7,1688,32.4,91,0,No Failure
1070,M15929,M,296.9,307.8,1840,24.6,157,0,No Failure
767,L47946,L,296.8,308.0,1561,38.3,9,0,No Failure
499,L47678,L,297.5,309.1,1611,30.2,211,0,No Failure
197,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure
1527,L48706,L,298.1,309.0,1787,27.6,47,0,No Failure
810,L47989,L,296.9,307.6,1452,45.7,122,0,No Failure
879,M15738,M,295.7,306.3,1685,34.9,84,0,No Failure
813,L47992,L,296.8,307.6,1338,44.4,128,0,No Failure
201,L47380,L,298.4,308.6,1609,35.0,103,0,No Failure
513,L47692,L,297.5,309.2,1426,44.8,24,0,No Failure
890,L48069,L,295.6,306.1,1389,46.2,113,0,No Failure
798,L47977,L,296.8,307.7,1565,40.1,89,0,No Failure
310,M15169,M,297.9,308.5,1449,40.8,157,0,No Failure
1449,M16308,M,299.0,310.3,1657,31.0,70,0,No Failure
288,L47467,L,298.2,308.3,1805,31.6,96,0,No Failure
405,L47584,L,297.3,308.6,1297,45.9,184,0,No Failure
1787,L48966,L,298.4,308.2,1618,33.0,61,0,No Failure
1947,L49126,L,298.2,308.1,1622,34.9,67,0,No Failure
1230,L48409,L,297.1,308.4,1304,53.5,153,0,No Failure
237,L47416,L,298.1,308.3,1495,38.7,188,0,No Failure
144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure
1313,L48492,L,298.9,310.1,1473,42.6,164,0,No Failure
1639,L48818,L,297.9,307.8,1397,45.0,104,0,No Failure
1252,M16111,M,297.4,308.8,1359,48.7,220,0,No Failure
931,M15790,M,295.5,305.9,1453,47.3,9,0,No Failure
196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure
1643,H31056,H,298.0,307.8,1588,35.4,114,0,No Failure
1630,M16489,M,297.9,307.9,1336,54.4,82,0,No Failure
1434,L48613,L,298.8,309.8,1363,44.0,25,0,No Failure
924,M15783,M,295.5,306.0,1423,45.3,205,0,No Failure
1962,L49141,L,297.8,307.5,1448,51.2,107,0,No Failure
228,L47407,L,298.3,308.5,1539,36.1,168,0,No Failure
576,M15435,M,297.9,309.9,1410,55.4,188,0,No Failure
1494,L48673,L,298.0,308.8,1496,44.9,179,0,No Failure
494,L47673,L,297.5,309.3,1470,38.8,197,0,No Failure
1689,L48868,L,297.9,307.4,1606,35.5,14,0,No Failure
600,H30013,H,297.7,309.7,1616,31.1,20,0,No Failure
61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure
1907,L49086,L,297.9,307.6,1430,52.4,178,0,No Failure
1703,L48882,L,298.0,307.7,1430,47.3,49,0,No Failure
478,H29891,H,297.4,309.0,1468,41.4,156,0,No Failure
1837,L49016,L,297.7,307.2,1518,35.8,195,0,No Failure
583,L47762,L,297.8,309.7,1341,49.2,208,0,No Failure
1558,L48737,L,298.3,308.4,1585,30.6,127,0,No Failure
851,L48030,L,296.3,307.3,1567,31.4,5,0,No Failure
1358,L48537,L,298.6,309.9,1461,45.7,49,0,No Failure
244,L47423,L,298.0,308.2,1442,44.1,204,0,No Failure
726,L47905,L,297.4,308.8,1640,34.2,142,0,No Failure
1185,L48364,L,297.3,308.5,1497,47.5,27,0,No Failure
1119,L48298,L,296.5,307.5,1443,41.8,87,0,No Failure
66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure
250,L47429,L,298.0,308.3,1405,56.2,218,1,Over Strain
133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure
336,L47515,L,297.4,308.1,1749,25.9,8,0,No Failure
1636,L48815,L,297.8,307.8,1383,56.5,98,0,No Failure
1882,L49061,L,298.0,307.6,1548,45.8,111,0,No Failure
387,L47566,L,297.6,308.7,1319,50.9,141,0,No Failure
236,M15095,M,298.1,308.3,1680,33.7,185,0,No Failure
1848,L49027,L,297.8,307.3,1412,50.7,24,0,No Failure
1446,L48625,L,299.0,310.1,1618,29.2,62,0,No Failure
791,L47970,L,296.8,307.9,1420,45.4,70,0,No Failure
1862,M16721,M,297.9,307.6,1609,30.3,64,0,No Failure
1769,M16628,M,298.3,307.8,1485,42.0,13,0,No Failure
1173,L48352,L,297.1,308.1,1446,36.6,227,0,No Failure
1522,M16381,M,298.2,308.9,1585,34.3,33,0,No Failure
1259,L48438,L,297.5,308.9,1427,50.4,17,0,No Failure
1908,L49087,L,297.9,307.6,1504,42.4,180,0,No Failure
429,M15288,M,297.6,308.6,1595,36.9,25,0,No Failure
1548,L48727,L,298.3,308.9,1348,55.5,102,0,No Failure
1779,L48958,L,298.6,308.2,1325,54.0,41,0,No Failure
1844,L49023,L,297.6,307.1,1496,39.2,12,0,No Failure
1470,L48649,L,298.6,309.8,1497,41.6,118,0,No Failure
1581,M16440,M,298.3,308.4,1444,47.5,178,0,No Failure
1786,L48965,L,298.2,308.0,1538,38.2,59,0,No Failure
1050,L48229,L,296.5,307.6,1415,44.2,106,0,No Failure
1213,L48392,L,296.9,307.9,1359,56.5,110,0,No Failure
1130,L48309,L,296.7,307.9,1690,29.6,119,0,No Failure
547,L47726,L,297.5,309.4,1809,24.3,110,0,No Failure
304,M15163,M,297.8,308.4,1479,43.5,143,0,No Failure
75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure
206,M15065,M,298.5,308.6,1344,53.0,114,0,No Failure
204,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure
1419,L48598,L,298.8,309.9,1320,47.4,210,0,No Failure
1791,L48970,L,298.2,307.9,1847,23.6,69,0,No Failure
1896,L49075,L,297.9,307.6,1344,54.3,151,0,No Failure
1913,M16772,M,298.0,307.7,1621,34.9,194,0,No Failure
1089,M15948,M,296.9,307.8,1392,43.9,0,0,No Failure
1433,L48612,L,298.8,309.8,1437,42.8,23,0,No Failure
868,H30281,H,295.9,306.5,1594,33.2,55,0,No Failure
1062,L48241,L,296.7,307.9,1420,50.1,138,0,No Failure
948,L48127,L,295.6,306.2,1428,44.5,51,0,No Failure
1308,L48487,L,298.8,310.0,1423,42.1,154,0,No Failure
495,L47674,L,297.6,309.4,1326,49.8,199,0,No Failure
531,M15390,M,297.6,309.5,1709,32.2,65,0,No Failure
574,L47753,L,297.9,309.9,1472,45.0,183,0,No Failure
614,L47793,L,298.1,309.9,1634,30.0,53,0,No Failure
79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure
905,H30318,H,295.7,306.2,1458,49.8,151,0,No Failure
351,H29764,H,297.6,308.3,1400,44.3,43,0,No Failure
15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure
1902,M16761,M,297.9,307.6,1505,40.1,166,0,No Failure
822,L48001,L,296.7,307.6,1474,41.7,148,0,No Failure
385,L47564,L,297.5,308.5,1712,26.8,136,0,No Failure
200,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure
474,M15333,M,297.4,309.0,1520,37.0,147,0,No Failure
1121,H30534,H,296.6,307.7,1654,31.0,91,0,No Failure
1543,L48722,L,298.3,308.9,1379,54.7,91,0,No Failure
688,M15547,M,297.7,309.0,1531,42.4,38,0,No Failure
1622,L48801,L,297.7,307.6,1844,21.9,61,0,No Failure
1798,M16657,M,298.0,307.6,1508,41.8,89,0,No Failure
1919,M16778,M,298.1,307.9,1496,40.0,0,0,No Failure
1935,L49114,L,298.1,307.9,1698,33.3,40,0,No Failure
861,H30274,H,296.1,306.9,1541,32.6,33,0,No Failure
550,L47729,L,297.4,309.2,1437,40.4,117,0,No Failure
1942,L49121,L,298.1,307.9,1425,58.2,57,0,No Failure
1520,M16379,M,298.2,308.9,1512,38.5,28,0,No Failure
1033,L48212,L,296.3,307.4,1648,34.0,60,0,No Failure
1267,L48446,L,298.0,309.6,1633,34.8,41,0,No Failure
1595,M16454,M,298.0,308.2,1373,51.2,215,0,No Failure
257,L47436,L,298.1,308.3,1331,63.0,13,0,No Failure
768,L47947,L,296.9,308.0,1546,31.1,11,0,No Failure
869,M15728,M,295.8,306.5,1514,37.7,60,0,No Failure
803,L47982,L,296.9,307.8,1571,35.0,102,0,No Failure
1627,M16486,M,297.9,307.8,1303,59.3,75,0,No Failure
3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure
391,L47570,L,297.6,308.7,1460,46.7,150,0,No Failure
8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure
927,L48106,L,295.6,306.1,1372,55.6,215,1,Over Strain
481,L47660,L,297.4,309.0,1583,32.0,166,0,No Failure
935,M15794,M,295.5,306.0,1326,50.8,18,0,No Failure
626,L47805,L,298.3,310.1,1545,36.3,90,0,No Failure
757,L47936,L,296.8,308.0,1584,40.4,227,0,No Failure
953,L48132,L,295.5,306.2,1448,48.9,65,0,No Failure
982,L48161,L,296.2,306.8,1655,31.1,136,0,No Failure
1182,L48361,L,297.2,308.3,1379,52.1,21,0,No Failure
737,L47916,L,296.9,308.3,1555,38.2,175,0,No Failure
183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure
1673,L48852,L,298.1,307.8,1432,49.8,198,0,No Failure
1710,L48889,L,298.2,307.8,1749,26.1,66,0,No Failure
541,L47720,L,297.4,309.4,1473,45.5,94,0,No Failure
1676,L48855,L,298.0,307.7,1407,43.9,205,0,No Failure
560,L47739,L,297.5,309.4,1503,40.6,144,0,No Failure
454,L47633,L,297.4,308.7,1510,36.2,92,0,No Failure
650,M15509,M,297.7,309.2,1732,28.8,152,0,No Failure
410,L47589,L,297.4,308.6,1459,41.3,196,0,No Failure
1291,L48470,L,298.6,309.7,1429,45.8,113,0,No Failure
124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure
1402,H30815,H,298.9,310.2,1532,37.7,166,0,No Failure
817,L47996,L,296.8,307.6,1434,48.3,138,0,No Failure
655,L47834,L,297.8,309.2,1683,30.9,163,0,No Failure
1651,M16510,M,298.0,307.9,1417,51.0,137,0,No Failure
177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure
491,L47670,L,297.4,309.2,1459,37.9,191,0,No Failure
1915,L49094,L,298.0,307.7,1643,32.3,200,0,No Failure
624,L47803,L,298.4,310.1,1926,23.7,83,0,No Failure
1960,M16819,M,297.8,307.6,1352,49.4,102,0,No Failure
1546,M16405,M,298.4,309.0,1544,38.8,97,0,No Failure
1183,L48362,L,297.3,308.3,1410,48.1,23,0,No Failure
1421,M16280,M,298.8,309.9,1495,35.2,214,0,No Failure
1956,L49135,L,297.9,307.7,1308,55.2,87,0,No Failure
1961,L49140,L,297.8,307.6,1446,51.4,105,0,No Failure
854,L48033,L,296.3,307.3,1444,49.0,13,0,No Failure
1141,M16000,M,296.9,307.9,1385,44.8,144,0,No Failure
1243,L48422,L,297.1,308.4,1468,44.4,197,0,No Failure
1635,H31048,H,297.9,307.9,1406,58.5,93,0,No Failure
103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure
1901,H31314,H,297.9,307.6,1493,36.0,161,0,No Failure
761,L47940,L,296.7,307.8,1505,39.4,236,0,No Failure
1412,L48591,L,298.9,310.1,1944,23.4,192,0,No Failure
1110,L48289,L,296.6,307.5,1557,35.1,60,0,No Failure
870,L48049,L,295.8,306.5,1358,49.2,63,0,No Failure
1467,L48646,L,298.7,309.8,1365,50.5,111,0,No Failure
1052,L48231,L,296.6,307.7,1556,37.7,110,0,No Failure
1550,L48729,L,298.4,308.9,1706,29.5,107,0,No Failure
1895,H31308,H,297.9,307.5,1880,23.3,146,0,No Failure
1700,L48879,L,298.1,307.7,1289,48.3,42,0,No Failure
165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure
665,L47844,L,297.5,308.9,1390,47.4,187,0,No Failure
428,M15287,M,297.5,308.5,1496,42.2,22,0,No Failure
1293,M16152,M,298.7,309.7,1868,23.8,118,0,No Failure
154,L47333,L,298.4,308.2,1850,27.0,194,0,No Failure
656,L47835,L,297.7,309.1,1435,38.8,165,0,No Failure
1063,L48242,L,296.8,307.9,1372,49.0,140,0,No Failure
1287,L48466,L,298.5,309.6,1582,40.3,103,0,No Failure
923,M15782,M,295.5,305.9,1380,52.4,202,0,No Failure
419,L47598,L,297.4,308.4,2151,17.7,0,0,No Failure
1761,L48940,L,298.1,307.5,1684,33.1,200,0,No Failure
1137,L48316,L,296.9,307.8,1557,38.1,135,0,No Failure
1209,L48388,L,297.0,308.1,1489,44.1,96,0,No Failure
239,L47418,L,297.9,308.1,1393,50.3,193,0,No Failure
1597,L48776,L,298.0,308.1,1877,24.3,0,0,No Failure
635,L47814,L,298.3,309.9,1507,41.6,112,0,No Failure
111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure
1843,H31256,H,297.7,307.1,1855,22.5,7,0,No Failure
466,M15325,M,297.3,308.6,1456,42.9,122,0,No Failure
56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure
907,M15766,M,295.6,306.1,1462,49.2,158,0,No Failure
528,M15387,M,297.6,309.6,1592,35.8,57,0,No Failure
472,H29885,H,297.3,308.8,1419,42.4,139,0,No Failure
1238,M16097,M,297.1,308.4,1502,37.3,181,0,No Failure
70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure
849,L48028,L,296.3,307.4,1465,47.1,215,0,No Failure
193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure
1672,L48851,L,298.1,307.9,1614,35.8,196,0,No Failure
1108,M15967,M,296.7,307.5,1515,42.1,55,0,No Failure
444,H29857,H,297.4,308.5,1469,45.1,63,0,No Failure
1831,L49010,L,297.8,307.3,1859,24.0,178,0,No Failure
1509,M16368,M,298.0,308.6,1507,37.3,217,0,No Failure
1993,L49172,L,298.2,307.8,1375,46.6,188,0,No Failure
1756,L48935,L,298.0,307.3,1424,46.5,185,0,No Failure
695,L47874,L,297.6,309.1,1394,50.0,62,0,No Failure
981,L48160,L,296.1,306.7,1409,42.8,134,0,No Failure
168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure
765,L47944,L,296.8,307.9,1337,56.5,5,0,No Failure
1159,L48338,L,297.0,307.9,1436,47.7,191,0,No Failure
997,M15856,M,296.3,307.2,1286,51.1,177,0,No Failure
1448,M16307,M,299.0,310.3,1662,33.6,67,0,No Failure
1455,L48634,L,299.1,310.4,1428,46.9,87,0,No Failure
1709,L48888,L,298.2,307.8,1627,31.5,64,0,No Failure
521,L47700,L,297.6,309.5,1617,36.2,42,0,No Failure
1493,M16352,M,298.0,308.7,1479,58.5,176,1,No Failure
342,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure
1889,M16748,M,297.8,307.4,1902,24.3,129,0,No Failure
1805,L48984,L,298.1,307.7,1495,48.1,111,0,No Failure
2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure
1025,L48204,L,296.2,307.3,1711,29.9,42,0,No Failure
1685,L48864,L,297.8,307.3,1438,44.5,3,0,No Failure
780,L47959,L,296.8,308.0,1666,29.8,41,0,No Failure
1248,L48427,L,297.2,308.5,1513,42.9,212,0,No Failure
167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure
368,M15227,M,297.6,308.4,1569,38.3,93,0,No Failure
1650,H31063,H,298.0,307.9,1482,37.8,132,0,No Failure
1728,M16587,M,298.3,307.7,1602,33.4,106,0,No Failure
1309,L48488,L,298.9,310.1,1750,25.0,156,0,No Failure
1156,H30569,H,297.0,307.9,1846,27.3,179,0,No Failure
1552,L48731,L,298.4,308.8,1458,40.1,111,0,No Failure
1210,H30623,H,297.0,308.1,2540,13.3,98,0,No Failure
1954,L49133,L,297.9,307.7,1593,34.9,83,0,No Failure
1765,H31178,H,298.2,307.6,1318,55.7,0,0,No Failure
668,L47847,L,297.5,308.9,1459,48.5,193,0,No Failure
886,L48065,L,295.7,306.2,1397,52.0,101,0,No Failure
619,H30032,H,298.2,310.0,1433,44.2,68,0,No Failure
434,M15293,M,297.6,308.5,1848,23.7,37,0,No Failure
1162,L48341,L,297.0,307.8,1316,61.2,200,1,Over Strain
1250,L48429,L,297.3,308.7,1467,36.8,216,0,No Failure
22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure
809,L47988,L,296.9,307.7,1424,43.3,120,0,No Failure
1594,L48773,L,298.0,308.3,1544,34.7,213,0,No Failure
1938,L49117,L,298.2,308.0,1411,42.4,48,0,No Failure
843,M15702,M,296.6,307.5,1566,35.0,201,0,No Failure
808,L47987,L,297.0,307.7,1867,22.8,118,0,No Failure
1071,M15930,M,296.9,307.8,1477,37.2,160,0,No Failure
701,M15560,M,297.6,308.8,1683,31.6,79,0,No Failure
1418,L48597,L,298.7,309.9,1541,38.5,208,0,No Failure
284,L47463,L,298.2,308.2,1469,43.0,88,0,No Failure
278,H29691,H,298.0,308.0,1479,50.7,70,0,No Failure
1754,L48933,L,298.2,307.5,1470,51.3,180,0,No Failure
331,M15190,M,297.6,308.4,1398,41.9,215,0,No Failure
96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure
222,H29635,H,298.4,308.5,1827,24.3,153,0,No Failure
492,L47671,L,297.4,309.2,1420,45.6,193,0,No Failure
1361,H30774,H,298.8,310.2,1707,27.6,56,0,No Failure
1420,L48599,L,298.7,309.8,1354,53.3,212,1,No Failure
1333,L48512,L,299.0,310.3,1868,24.0,221,0,No Failure
1694,H31107,H,298.0,307.5,1683,27.8,26,0,No Failure
828,L48007,L,296.5,307.3,1501,42.1,162,0,No Failure
68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure
296,M15155,M,298.1,308.6,1716,30.7,119,0,No Failure
570,M15429,M,297.7,309.6,1596,35.2,173,0,No Failure
1147,L48326,L,297.0,307.9,1529,42.2,157,0,No Failure
1717,L48896,L,298.1,307.7,1523,37.7,80,0,No Failure
771,L47950,L,296.8,308.0,1391,54.4,17,0,No Failure
796,L47975,L,296.9,307.8,1605,37.0,84,0,No Failure
1971,M16830,M,297.9,307.6,1202,67.0,129,0,No Failure
1408,L48587,L,298.9,310.0,1564,33.8,183,0,No Failure
1860,L49039,L,297.8,307.4,1355,45.8,60,0,No Failure
787,L47966,L,296.9,308.1,1741,28.8,60,0,No Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,No Failure
855,M15714,M,296.3,307.3,1498,41.6,15,0,No Failure
316,L47495,L,297.9,308.4,1646,40.6,175,0,No Failure
1297,L48476,L,298.7,309.9,1621,34.1,130,0,No Failure
610,L47789,L,298.1,309.9,1629,32.5,45,0,No Failure
983,L48162,L,296.2,306.9,1516,39.1,138,0,No Failure
646,L47825,L,297.7,309.4,1392,44.1,140,0,No Failure
1666,H31079,H,298.2,307.9,1491,39.7,181,0,No Failure
148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure
762,L47941,L,296.7,307.8,1646,34.6,238,0,No Failure
1440,M16299,M,298.8,309.8,1534,37.0,47,0,No Failure
1849,H31262,H,297.7,307.2,1429,44.1,26,0,No Failure
1879,M16738,M,298.1,307.7,1424,47.7,103,0,No Failure
1536,L48715,L,298.0,308.8,1581,36.1,73,0,No Failure
311,H29724,H,298.0,308.6,1526,41.8,160,0,No Failure
1759,L48938,L,298.1,307.4,1608,33.9,193,0,No Failure
1825,L49004,L,298.1,307.5,1391,57.4,161,0,No Failure
1767,M16626,M,298.3,307.7,1717,27.1,7,0,No Failure
1977,M16836,M,298.1,307.7,1419,47.4,142,0,No Failure
722,L47901,L,297.5,308.9,1696,30.9,133,0,No Failure
252,M15111,M,298.0,308.2,1466,42.6,2,0,No Failure
359,M15218,M,297.6,308.3,1467,36.7,68,0,No Failure
1750,L48929,L,298.3,307.7,1576,33.8,171,0,No Failure
1762,L48941,L,298.1,307.6,1950,20.3,202,0,No Failure
1937,M16796,M,298.1,308.0,2129,18.4,45,0,No Failure
1382,M16241,M,298.8,310.2,1583,35.7,116,0,No Failure
2000,L49179,L,298.4,308.0,1540,37.8,7,0,No Failure
488,M15347,M,297.4,309.1,1463,35.0,183,0,No Failure
1405,M16264,M,298.9,310.1,1555,40.6,176,0,No Failure
1538,M16397,M,298.4,309.1,1467,39.6,78,0,No Failure
1330,H30743,H,298.8,310.2,1663,30.4,209,0,No Failure
1707,L48886,L,298.2,307.8,1521,42.9,60,0,No Failure
1103,L48282,L,296.8,307.5,1347,54.8,43,0,No Failure
1904,L49083,L,297.9,307.6,1968,20.4,171,0,No Failure
443,L47622,L,297.4,308.5,1399,61.5,61,1,No Failure
1985,M16844,M,298.0,307.5,1387,45.5,166,0,No Failure
1530,L48709,L,298.1,309.0,1557,36.0,56,0,No Failure
1512,L48691,L,298.1,308.7,1642,30.3,3,0,No Failure
853,M15712,M,296.3,307.3,1368,49.5,10,0,No Failure
98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure
1009,L48188,L,296.2,307.1,1441,41.7,3,0,No Failure
51,L47230,L,298.9,309.1,2861,4.6,143,1,No Failure
639,L47818,L,298.0,309.6,1536,37.3,120,0,No Failure
529,M15388,M,297.5,309.5,1553,42.4,60,0,No Failure
1015,L48194,L,296.2,307.2,1445,41.8,20,0,No Failure
1544,L48723,L,298.4,308.9,1628,34.9,93,0,No Failure
1349,L48528,L,298.7,310.2,1363,45.5,28,0,No Failure
718,L47897,L,297.4,308.7,1545,36.9,125,0,No Failure
29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure
1626,L48805,L,297.9,307.8,1365,46.9,73,0,No Failure
23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure
1744,M16603,M,298.5,308.0,1713,25.8,154,0,No Failure
58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure
1914,M16773,M,298.0,307.8,1492,40.2,197,0,No Failure
821,L48000,L,296.7,307.6,1516,37.4,146,0,No Failure
827,L48006,L,296.5,307.2,1481,38.2,160,0,No Failure
941,L48120,L,295.6,306.2,1443,48.9,33,0,No Failure
1371,L48550,L,298.7,310.3,1451,40.0,86,0,No Failure
