UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
4796,L50229,L,297.7313416,309.8983524,1827,10.51358959,250
2029,L50230,L,297.189063,313.2138702,1398,45.04029421,45
2908,L50231,L,299.7439652,308.9994129,2730,31.69496983,103
3144,L50232,L,297.7705106,313.7906431,2169,7.182409014,79
8920,H32467,H,297.9446473,310.3916823,1332,55.04966136,189
5391,H32468,H,301.3421558,306.0423789,1891,56.8915719,221
7575,L50235,L,304.2105435,310.4527139,1987,64.54952105,187
9660,L50236,L,300.8534622,307.9240388,2778,39.14735567,117
9307,L50237,L,296.0082111,305.9630987,2795,74.31836045,4
1678,L50238,L,295.9953692,312.3489118,2765,70.34386972,160
2044,M17919,M,304.0530936,307.9334101,2257,43.93839831,210
7682,L50240,L,298.0350753,312.1520433,2271,36.19250058,54
3115,L50241,L,296.1470163,308.0345624,1307,4.020906351,18
4167,L50242,L,300.8112102,307.2740435,1567,55.56040191,144
4854,L50243,L,301.0375688,313.5888782,1297,44.92868789,87
8096,M17924,M,301.2662443,308.6293272,2152,72.05321379,246
8299,M17925,M,297.7600987,310.5711473,1933,47.06009872,116
6600,M17926,M,295.4390183,310.6408501,1613,76.07992364,219
2342,L50247,L,304.1781414,310.2398352,1196,65.95804299,169
6320,H32482,H,297.608216,313.1090355,2393,73.22192973,228
9323,L50249,L,301.5194419,311.1629727,2428,27.65384975,149
1110,L50250,L,301.8009948,308.9702373,2790,14.67166042,38
1251,L50251,L,300.9120682,312.6852811,2799,61.81228988,207
6473,L50252,L,298.178748,307.1666095,1966,61.0351491,124
7409,L50253,L,297.7940855,310.1083177,2530,19.19348279,226
3074,L50254,L,300.7985482,313.399458,2590,59.47341082,26
5371,M17935,M,303.2680798,310.7657208,2630,46.16766047,75
5546,L50256,L,304.0099503,312.3174444,1456,11.77343055,173
8273,L50257,L,296.2743334,310.9938419,2443,40.3298459,126
916,M17938,M,296.7244232,312.498904,2144,71.58684646,155
262,L50259,L,303.9915736,313.3503518,2883,40.67010931,179
5515,M17940,M,302.0761241,307.910666,1267,61.21728644,192
3320,M17941,M,303.4235432,307.0742548,2776,5.904647028,166
8151,M17942,M,297.1642202,309.6203251,1589,56.80432686,121
3041,L50263,L,300.70579,311.3850857,1810,72.72976171,145
4904,H32498,H,301.7504843,307.5402492,1861,40.16562274,86
2663,L50265,L,301.5570293,305.7332217,1873,28.38528167,149
6959,L50266,L,299.0549956,308.4777744,1185,50.87615676,67
6242,M17947,M,295.441633,313.5477606,1638,70.50381646,239
5265,M17948,M,300.6629197,311.3292364,2829,16.66883056,10
6938,H32503,H,297.6285342,308.9507361,1890,33.18893849,81
1973,H32504,H,299.4423391,307.2598664,2198,15.17793246,63
2175,L50271,L,304.1097453,308.5843264,1586,39.95642811,118
1328,M17952,M,298.9711249,307.0756994,1547,43.14272255,239
4891,L50273,L,303.0261748,306.5610772,1675,72.53802315,198
6723,L50274,L,297.0345736,313.0446132,1281,33.83110319,84
7315,M17955,M,301.4866366,313.7809677,2019,45.07444147,56
9032,L50276,L,304.288464,307.029327,1678,68.24711539,162
7249,M17957,M,296.2374165,306.1416327,2787,27.19828401,248
6727,M17958,M,295.3765435,308.370822,2018,52.87912966,36
548,M17959,M,299.2889617,309.4394394,2143,58.92138259,177
5730,L50280,L,296.1521544,307.3590521,1781,27.86245549,120
5553,H32515,H,302.185136,308.1415418,1636,15.76403831,29
3877,L50282,L,303.7138477,307.327053,1260,40.41181465,144
5882,L50283,L,299.2929929,311.9715106,2683,29.77516595,160
9518,M17964,M,297.6801471,311.4718813,2293,23.19846503,143
3792,L50285,L,299.2965105,310.8431073,1660,74.66507142,142
2872,L50286,L,301.9557199,308.8364646,1930,40.35673976,140
7543,M17967,M,295.3832983,313.0632316,2727,66.15157611,230
575,L50288,L,300.7229767,313.5532136,2676,18.01910749,2
1102,L50289,L,300.9422835,307.1064784,2156,72.19143328,23
8222,H32524,H,301.1667319,307.5064024,1646,61.63460844,150
1376,L50291,L,297.5266031,309.9576113,2044,62.67278897,58
5235,M17972,M,301.8692851,306.4391296,1334,32.17488291,236
3949,M17973,M,296.1408017,309.235232,1307,39.1543731,239
6875,M17974,M,297.1332871,310.4125092,1261,46.99619493,54
3805,L50295,L,303.3727244,309.9287959,2372,61.29493104,64
4465,L50296,L,302.096253,308.3803595,1743,65.61133155,159
5846,M17977,M,295.4264591,310.093811,2195,9.481698521,224
3732,M17978,M,297.5850616,313.4662877,1773,69.61574181,59
7526,L50299,L,297.2725396,307.368741,2580,72.0497563,239
4398,H32534,H,297.7914182,311.004134,2463,46.96220304,157
7888,L50301,L,297.5775499,306.0515132,2323,17.39544464,65
5791,L50302,L,295.8752419,306.2379729,1751,63.38059982,145
3751,H32537,H,299.5222528,310.1698086,1983,43.73717834,58
3135,L50304,L,302.041148,306.5500074,1760,63.29190183,52
1300,L50305,L,300.8819319,305.881009,2703,63.11803162,63
4607,L50306,L,301.4904194,307.0892553,1853,10.11389418,120
887,L50307,L,296.0465724,310.2752783,2130,47.99115999,118
9751,M17988,M,304.0537145,311.3970617,2154,38.97290499,29
2047,L50309,L,303.0141249,307.3400764,2243,72.67749742,17
4891,L50310,L,302.7068309,311.1129014,2481,25.39548605,4
7003,L50311,L,302.871451,307.1780583,1613,18.79680773,68
6602,L50312,L,303.8809367,310.6690052,1404,69.10792312,135
5968,H32547,H,300.3071365,309.0368734,2682,14.62649342,136
5528,L50314,L,297.1425946,310.995776,2471,53.7786166,159
7895,L50315,L,300.9744092,313.7599273,2235,25.64144245,119
5897,L50316,L,302.1345097,313.2963174,2049,45.139171,141
3458,L50317,L,302.08884,305.7346822,1933,48.66077471,140
7558,L50318,L,300.097331,312.872054,2104,34.18448373,17
3299,H32553,H,295.9298202,306.2385754,1526,74.77745056,67
7503,H32554,H,298.714239,313.4196773,1813,13.39745464,113
5277,L50321,L,303.7710528,307.982788,2759,32.29385368,21
1527,L50322,L,300.67693,308.7944821,2717,35.1327798,19
2151,H32557,H,300.2526539,306.4422695,1857,49.74021789,142
2157,M18004,M,297.7734523,306.6094093,1629,33.4485104,6
2795,M18005,M,298.6897301,311.5865986,1268,10.86422163,204
4244,M18006,M,303.537184,313.3490911,1859,72.77290387,97
6827,M18007,M,301.43146,310.6470628,2151,34.09055714,104
3043,H32562,H,302.5439606,311.4983851,2652,28.74664734,29
6696,H32563,H,299.4799779,311.8719549,1936,36.32137064,4
6893,L50330,L,301.0982744,307.8287956,1435,19.56816566,128
4092,L50331,L,297.5851292,306.06636,2050,11.09613864,187
3235,M18012,M,301.7902396,305.7151692,2553,14.61651328,158
436,M18013,M,299.2339323,308.5402592,1575,15.93247141,250
9650,L50334,L,299.3714187,307.6558602,2228,18.1906263,242
2373,L50335,L,301.2737654,306.2047736,1635,34.37310345,19
112,L50336,L,303.9137817,307.1541792,1426,49.21986679,82
3035,M18017,M,295.8888584,306.7084411,1676,49.58303461,63
5575,L50338,L,302.8876378,313.1105149,2858,3.807103064,117
5889,H32573,H,297.9899246,306.8361644,1476,70.84571815,191
9289,M18020,M,299.384059,310.0549526,2803,63.70327474,28
8175,L50341,L,295.5016026,310.5041582,2464,73.97468927,236
5050,L50342,L,298.0696239,310.1022646,1792,30.0070059,101
7361,L50343,L,299.9242074,306.5023571,1277,52.19738734,137
9489,L50344,L,295.8168199,308.2822667,2846,16.03191055,156
958,L50345,L,299.8180807,306.1152897,1846,63.28000438,30
4832,M18026,M,303.8294178,308.9049263,2451,15.54757023,74
4969,L50347,L,296.2696176,307.2276513,2848,27.53175902,214
8286,M18028,M,302.3328547,310.2492235,1909,39.53277751,29
2767,M18029,M,299.0689737,311.311748,2074,47.08190549,152
6826,M18030,M,301.3275982,310.0101709,1435,44.54128417,79
668,L50351,L,297.6941767,309.2173172,2223,11.23258965,57
7924,M18032,M,296.7673288,308.8374007,2107,34.49801301,56
515,L50353,L,296.7762561,312.5177033,1978,70.98779443,86
9436,L50354,L,295.9485259,307.4768813,2368,67.30842882,122
4290,L50355,L,297.0079497,311.6471686,1271,46.80904049,190
812,L50356,L,301.4108183,311.8356068,2427,45.46522909,96
5708,M18037,M,303.4115536,309.0955201,2284,11.9299533,114
5850,M18038,M,302.7899563,308.1081349,1368,18.37888813,36
6073,L50359,L,301.6032357,309.511386,2066,22.19217326,57
1521,M18040,M,296.3159731,306.4550328,1910,39.34064904,27
5750,L50361,L,297.9605245,306.0720333,2092,57.0427203,154
1479,M18042,M,298.1502233,306.6039859,1764,37.34080589,197
2002,L50363,L,297.5996039,307.2158748,2226,12.97724385,229
5819,L50364,L,300.0380521,309.7838322,2308,35.78459825,36
9224,L50365,L,300.2270951,312.5780068,1855,15.63970087,5
2139,M18046,M,298.583351,307.6087029,2649,58.4835272,216
3070,M18047,M,298.5548603,313.2748123,2662,15.92126264,204
351,M18048,M,302.9227115,313.4347541,2087,38.92847444,61
2306,L50369,L,302.5614942,313.4671273,1955,54.28051027,224
7209,L50370,L,298.1317217,312.4842582,1566,20.41281906,32
6871,M18051,M,303.7068537,308.6469828,1764,9.334991836,88
4792,M18052,M,304.0658982,306.2887397,1284,44.80820186,77
1265,L50373,L,298.3060314,310.3074317,1529,7.745953903,39
1558,L50374,L,298.5607095,310.2253197,1371,46.58955721,168
4961,M18055,M,299.9518342,312.5848037,2337,58.65469354,118
6389,L50376,L,303.9583115,313.7675275,1611,27.77420419,41
8978,L50377,L,303.3621388,309.8160742,1894,39.35183698,229
6735,M18058,M,296.2436253,308.4961527,2808,71.41386182,136
3907,H32613,H,298.9131228,307.2058039,2028,38.09672531,17
8058,M18060,M,300.3910149,305.7388786,2488,76.34913567,14
3434,L50381,L,299.9288187,309.8238209,2035,15.22977555,131
666,L50382,L,297.0835402,310.1997012,2772,55.4103881,33
8753,M18063,M,303.2011143,312.3820017,2678,51.31063395,61
3658,L50384,L,301.5278552,309.7870734,1934,67.30379042,37
4149,M18065,M,303.008757,313.1233936,2422,10.52986583,208
6904,M18066,M,303.2006314,310.7874762,2394,24.19903986,70
5300,M18067,M,302.1848739,312.5067235,1529,13.42264764,223
1543,M18068,M,299.3407375,306.9012441,1562,71.7293249,246
718,L50389,L,300.9170301,312.6282227,1415,34.85905163,22
3140,M18070,M,296.7753617,311.1686652,2631,70.05279355,125
2921,L50391,L,301.4975378,307.0788876,2081,25.23282919,19
655,L50392,L,296.94913,307.2370848,2587,12.99959778,238
9324,L50393,L,301.6843362,313.204655,1928,25.38791347,183
6329,H32628,H,297.4123031,305.9609444,1823,47.27429336,52
9968,M18075,M,296.381472,309.446533,1523,65.33293268,129
7891,L50396,L,296.8206173,308.2391498,2592,31.85644247,20
6734,L50397,L,295.3183276,311.0871273,1408,70.39807039,75
3812,L50398,L,301.9124045,312.500998,2532,21.58009394,41
1750,M18079,M,302.0380897,308.6190628,1396,54.28976204,56
5818,M18080,M,300.0373868,309.1579069,2734,57.35993192,121
6112,L50401,L,296.7845378,313.6535341,1788,23.74450053,176
1082,M18082,M,296.0686999,312.0497237,2098,5.76340714,90
6775,H32637,H,295.4759865,312.9673535,2730,30.3892785,241
5364,M18084,M,296.8248832,309.253974,2022,7.090279524,111
3202,L50405,L,303.4958709,307.5960173,2863,69.37487485,9
6999,L50406,L,297.5221389,309.0360941,1696,73.21663914,71
5332,M18087,M,298.5592962,311.5003445,1434,57.33565788,60
9272,L50408,L,296.2691785,306.5863863,2320,56.70263781,20
291,L50409,L,297.345724,307.8907998,1387,21.33698633,187
6961,L50410,L,300.0768661,306.0777508,2273,9.181781973,120
5739,L50411,L,300.8913247,309.2020167,1728,62.19321749,85
3424,L50412,L,297.5572413,312.4023105,2744,44.50698862,140
3500,H32647,H,295.8311359,305.8997759,2211,53.42248424,47
8174,L50414,L,298.8975024,311.1701206,2518,60.55786976,167
7805,L50415,L,297.454671,313.2532166,2228,33.60681478,190
5569,M18096,M,297.3198961,307.6191157,1549,14.32299175,203
844,M18097,M,304.1307378,311.3184422,1206,61.67867899,208
914,M18098,M,300.9699645,313.5983254,2300,36.83413854,239
4440,L50419,L,300.4232817,313.4944523,1596,64.00008401,8
5668,L50420,L,299.125131,307.6029265,2255,35.66449788,184
7897,H32655,H,299.2462879,306.5126815,2366,19.59879454,178
3991,L50422,L,300.276326,306.9010886,1958,16.24916521,112
9169,L50423,L,301.7071542,311.3864889,1199,57.95750388,119
1201,M18104,M,301.7597441,311.5786469,2112,45.65192814,39
7390,M18105,M,296.879584,311.1613161,1698,33.25509115,75
1649,L50426,L,299.9010373,308.4222349,1273,39.62609985,200
122,M18107,M,299.0900145,307.0751932,1649,43.81369046,63
4371,M18108,M,303.3088481,310.4041648,1373,21.22951696,93
9152,L50429,L,301.1090541,309.6178116,2438,31.3304542,69
3816,H32664,H,300.1990374,311.6035566,2002,25.08755466,63
4408,L50431,L,296.3616307,309.2750166,2870,32.07725604,24
1353,L50432,L,300.8718686,308.4429815,1256,40.24092914,155
5223,L50433,L,296.3782759,308.0771765,2507,16.42042884,137
688,M18114,M,298.4023005,307.4129096,2202,32.44789656,232
856,L50435,L,296.6141461,307.8525456,2240,31.86399547,155
4437,L50436,L,301.6670776,306.4681266,2063,24.62107787,220
22,L50437,L,297.1975194,308.5095418,2764,76.49053245,35
7318,L50438,L,298.9051062,305.9962155,2362,9.160082655,138
2005,M18119,M,303.540208,307.2099522,1310,50.60684294,20
6713,M18120,M,297.1797107,311.7488406,1374,16.49913056,245
6814,H32675,H,299.9718066,308.3362988,2654,64.91734642,229
970,L50442,L,299.1572993,311.1127198,1676,70.35350782,153
3779,L50443,L,295.4667412,311.5067618,2392,33.02759713,145
7335,H32678,H,302.5933746,310.4076013,1172,63.74923112,67
8537,L50445,L,295.9352223,313.4654517,1378,21.99340791,235
9922,L50446,L,299.6631462,305.8736629,1196,13.99698733,40
5581,L50447,L,300.4582403,311.6830865,2381,26.79593779,14
8078,M18128,M,301.0815234,313.4661718,1355,28.67386821,22
3332,M18129,M,301.635411,312.684401,2341,32.72762926,168
4296,L50450,L,297.6301059,307.0599308,1692,30.95141097,133
6149,M18131,M,295.3918047,308.3472445,2113,33.73131617,234
6444,M18132,M,301.9556817,307.0968599,2557,55.49042903,198
3308,M18133,M,300.2280407,310.5705977,1324,21.67823367,248
5867,L50454,L,302.9922829,311.4687227,1247,5.152303372,237
540,H32689,H,302.8567729,308.2682975,2464,39.44874414,187
5272,L50456,L,303.0586007,310.0700032,1827,36.43560258,111
7173,L50457,L,299.7628709,311.2964566,1793,8.172731261,206
1489,L50458,L,298.3693812,309.1128525,2709,13.54074203,51
286,L50459,L,302.5823355,312.6175258,1399,40.92224113,136
5734,M18140,M,299.4519058,311.9495545,2840,20.88985533,114
6483,M18141,M,296.9876682,306.2237909,1327,67.68915581,157
1238,L50462,L,303.165761,310.7311149,1511,16.41569301,43
113,L50463,L,303.4195509,307.606137,2480,5.264927599,189
4434,H32698,H,299.5900498,310.2158979,1372,36.38264241,170
8282,L50465,L,295.9964375,313.4507964,2162,75.59267445,155
6927,L50466,L,298.868,312.8204022,2005,49.94591992,221
9692,M18147,M,302.6925465,308.9765829,1472,29.57336371,7
1054,L50468,L,303.5963211,308.0612623,2551,5.027991235,98
1564,M18149,M,297.1719492,307.5986865,1837,39.10424641,50
8549,L50470,L,295.9161572,310.0133704,1567,18.83072496,98
3727,M18151,M,303.3716242,306.6254125,2640,50.95649742,120
6690,L50472,L,298.8825254,310.1491276,1273,46.24301834,89
4555,M18153,M,300.2842009,305.7108025,2273,23.10756285,29
8663,L50474,L,304.2062055,308.323182,1509,8.814663051,226
2915,L50475,L,295.9123955,307.4814679,2153,58.76539762,229
2987,M18156,M,301.2645257,313.5668722,2119,46.42178609,138
2621,L50477,L,295.9817699,311.5906628,2612,65.10679096,253
7170,L50478,L,298.7543141,308.5321924,1216,22.71344114,147
9334,L50479,L,302.6950938,306.4520452,1373,51.32835832,237
4404,H32714,H,299.2879445,309.8860848,2409,12.43994044,30
4660,L50481,L,304.4740777,307.4289278,2867,25.0437613,161
1039,L50482,L,300.4433454,310.0450793,2627,51.59604734,139
6568,L50483,L,298.2546918,312.4664351,1958,63.90231901,175
55,L50484,L,297.3250242,310.6879197,2513,27.16337653,155
8114,M18165,M,298.5247889,310.8336862,1398,61.95653892,66
9494,L50486,L,298.7273061,310.0823453,2678,53.14037911,116
7413,M18167,M,295.9321658,313.2108516,2620,29.18352337,190
7126,L50488,L,298.7000826,313.2484117,2050,67.60169707,175
3468,L50489,L,299.5709944,309.8530579,1893,40.87187601,169
1495,L50490,L,301.9491873,308.1766518,1451,50.99236868,179
4134,L50491,L,301.3419113,309.4226547,2677,39.88196169,4
3704,L50492,L,301.820644,307.2111191,1443,36.75801312,76
4866,L50493,L,295.3769459,310.854389,1600,65.53277781,11
183,L50494,L,297.3025401,309.7507479,2376,25.25448141,58
1237,M18175,M,301.3874955,306.5367339,1800,6.466607388,64
8813,M18176,M,299.7527022,307.300947,1383,67.84817645,51
9737,L50497,L,295.348884,309.5850188,1264,63.86174378,42
4128,L50498,L,302.7013507,312.8894708,2122,30.48560255,249
235,L50499,L,302.4098481,310.2877648,2310,17.3008429,82
73,L50500,L,300.3454563,311.2204335,1532,52.97884921,92
5768,L50501,L,295.9114626,308.4461313,2594,9.533793785,62
1790,L50502,L,302.3519385,310.3284323,2175,34.6493462,110
8820,L50503,L,300.670165,309.3237766,1785,10.05077701,49
8860,L50504,L,302.4940318,311.0389523,1564,47.32782436,111
4024,L50505,L,302.2160723,306.1096621,1625,5.780770341,38
8786,L50506,L,302.6876191,309.6957318,1485,49.60855375,169
2261,M18187,M,300.0656742,308.0975403,1549,52.80936574,216
4263,L50508,L,296.5909856,308.342099,1309,39.26411775,79
7389,L50509,L,301.4746488,313.4834312,1624,16.54053357,16
6546,L50510,L,301.0083588,307.179828,1668,11.18147873,219
6935,L50511,L,302.1287293,308.2210865,1490,26.60768294,230
7457,M18192,M,296.8629053,309.8301299,2167,37.66704627,42
9161,M18193,M,297.0937718,312.6905183,1435,50.55276547,251
8371,M18194,M,303.4917676,309.0750277,1654,3.891009283,48
6315,L50515,L,302.1997957,311.7253088,2045,55.56545332,4
6118,L50516,L,303.6557021,312.6366302,1846,55.68542866,128
2052,L50517,L,302.280181,308.2111325,2351,36.16235231,66
4432,M18198,M,300.7938288,308.8812765,1181,28.79998925,111
8387,L50519,L,301.3180212,308.5881054,2171,65.12006351,23
2941,M18200,M,303.4799769,312.446132,1872,60.91796869,28
3629,H32755,H,300.6250221,306.0592096,1322,75.38249924,142
7635,L50522,L,301.1180002,308.1982108,1268,30.87656263,131
5464,M18203,M,296.7395858,311.2032093,1739,69.81741363,43
9424,L50524,L,299.6600752,310.2800923,2234,10.16285729,64
3699,L50525,L,301.8908534,309.2339438,2384,33.75472962,240
1960,L50526,L,297.7926728,310.0735806,2502,37.67923584,119
1527,L50527,L,297.1607385,307.3004351,1788,35.89565022,206
7840,M18208,M,298.1872066,309.1888046,2796,49.30714812,125
6930,L50529,L,297.5218058,309.7637942,2182,16.19113067,215
3520,L50530,L,297.2771963,312.9996319,1632,66.8777181,243
1696,L50531,L,299.2086278,307.8127648,2354,43.96842055,30
5897,L50532,L,303.6521143,312.7294109,1518,69.6264551,147
7991,L50533,L,299.9649487,310.9183553,1401,3.991583685,9
6467,L50534,L,297.0288675,305.8647607,1570,49.66313467,10
377,L50535,L,296.0081394,311.5695138,1518,33.82693125,81
779,L50536,L,301.7046365,305.9879702,2358,40.5712117,225
5276,H32771,H,298.8217486,313.7787871,2339,57.94896838,155
3344,L50538,L,302.8608447,312.7683572,1195,20.33664728,165
5993,L50539,L,301.3674991,308.1084844,1426,18.71667888,207
3596,L50540,L,302.6254213,307.785031,2789,54.97896913,23
2500,L50541,L,297.8019036,308.7896728,1787,41.75542725,38
587,L50542,L,301.6697021,308.5849524,2633,20.80892634,118
7490,L50543,L,297.7293703,308.7159363,2820,39.0365566,178
9247,L50544,L,303.93943,308.27804,2043,37.25585194,75
3000,M18225,M,301.1546434,310.7311806,2718,54.13715432,49
6745,M18226,M,298.2855086,307.0305357,2402,3.993728343,233
8802,H32781,H,297.7795091,312.5524485,1710,46.51614735,6
8999,L50548,L,297.0565246,312.2804601,2636,47.89336936,99
2484,L50549,L,301.6906968,309.559514,1620,58.07313799,80
5796,L50550,L,297.3121836,312.6071127,1864,68.53597793,240
7910,L50551,L,300.77679,307.7018751,1571,35.84581723,67
2700,L50552,L,297.7346422,305.8422802,2186,28.73547233,180
7485,L50553,L,301.3901143,310.7155842,2257,11.24892348,36
9544,L50554,L,302.7974455,309.4090662,2596,28.32164951,224
109,M18235,M,302.4578322,310.2940328,2050,8.785683572,82
8718,M18236,M,302.2998322,312.9846492,1742,62.24531095,53
1499,H32791,H,297.0270461,313.5563971,2626,62.55004756,89
6098,L50558,L,296.1131415,310.8390704,2419,34.17490145,182
9142,M18239,M,301.7303292,311.8888503,2667,22.70188183,202
1668,L50560,L,298.6887944,306.3788483,2659,12.39186149,30
3185,L50561,L,299.2775853,307.0017962,2292,65.77006569,192
7454,L50562,L,295.5865717,311.6389589,1590,67.68165627,231
4948,H32797,H,297.6881033,309.1940602,2547,23.18588394,99
8798,L50564,L,295.6098229,309.3123187,2330,49.06416793,92
9817,L50565,L,303.3885091,308.1997222,2822,22.6299868,88
4918,H32800,H,297.5392495,310.6195867,2760,20.18921846,186
7429,M18247,M,300.427502,307.1998369,2322,5.343946086,122
6862,M18248,M,295.6586098,310.7780219,1716,45.8172056,117
4403,M18249,M,301.434996,307.1077707,1635,14.71574434,46
1058,H32804,H,298.2718516,306.2169909,2671,4.700622113,176
6313,L50571,L,303.5608565,308.3758973,1278,11.43316476,145
1369,L50572,L,303.4706873,307.5722368,1320,26.64239715,2
8103,L50573,L,298.2926737,312.9008323,2084,52.51508024,17
5739,L50574,L,303.5888402,306.145123,1929,18.55095828,57
9864,L50575,L,304.4646506,307.1305709,2433,68.41659295,70
4634,M18256,M,302.8938241,310.1446288,1887,24.80195628,219
3739,L50577,L,303.0728164,309.5966442,2047,27.91327387,80
9120,L50578,L,297.5908804,306.0714013,1849,19.6687387,152
3626,L50579,L,300.6056621,305.7587447,1936,22.27702854,145
5201,H32814,H,295.9187544,313.7033503,1446,9.197036339,51
2737,M18261,M,296.173245,311.0365611,1530,25.25929813,231
8897,L50582,L,304.489812,308.6597897,2816,66.38015106,42
8475,L50583,L,298.3050811,309.5105012,2599,53.91730661,66
3684,L50584,L,302.183292,307.859056,2366,67.51952524,88
971,M18265,M,302.7213185,308.4934776,1768,11.43373625,134
489,L50586,L,303.1938141,310.9572602,2326,36.96889073,110
7462,L50587,L,304.4781803,312.8507756,2697,20.48975475,201
8362,M18268,M,297.5217677,307.1914532,1461,56.30449499,171
7151,M18269,M,295.6712276,312.5069282,2686,74.43331364,171
9785,L50590,L,299.082962,306.6846087,2038,63.15817007,178
8758,L50591,L,296.4967422,307.441437,2610,6.368250539,82
9610,L50592,L,295.5063182,306.0011198,2397,26.85282577,78
7356,L50593,L,298.6159268,306.8405761,2509,5.880601465,84
8577,L50594,L,302.5103919,313.1301555,1240,6.724155193,20
3136,L50595,L,300.5088624,309.4214538,1426,9.588714143,121
4177,L50596,L,298.1775575,306.3290935,2549,23.91660043,164
6924,L50597,L,301.3199465,313.4737874,2339,25.94596148,27
3257,H32832,H,297.4345673,312.8198377,2416,32.95301576,236
7513,L50599,L,295.4323093,311.8129284,2296,33.27898368,31
8430,L50600,L,302.3320512,313.2611296,2747,59.95857606,184
7464,M18281,M,301.0384364,307.4830483,1523,14.09415613,168
6443,L50602,L,302.3131841,312.4745913,2729,15.28351683,53
4833,L50603,L,295.6582298,311.2889287,2452,49.41568296,154
2577,L50604,L,303.0015006,312.7450499,1738,45.42282868,122
2072,M18285,M,300.999641,312.1549837,1740,15.01154256,86
8524,L50606,L,300.4832372,308.50661,1984,65.84485027,201
3130,L50607,L,301.0464492,311.9726281,2261,27.75552535,39
4285,L50608,L,303.2527859,307.8258961,2638,30.51522297,168
3536,H32843,H,300.6998159,308.3615965,1614,34.40949388,69
6366,H32844,H,300.6447435,306.5740363,1950,27.29269619,23
353,L50611,L,304.4142482,313.2741206,2448,44.38272781,145
3123,M18292,M,302.2619175,308.0571272,2076,32.09355425,73
5208,M18293,M,299.369103,309.917042,2111,22.68684805,183
2032,M18294,M,301.8080524,308.869796,2063,69.64577037,142
9052,L50615,L,298.8809203,313.4754178,2097,26.24793388,236
2927,L50616,L,297.4056543,308.4138983,1804,54.64999377,234
5826,L50617,L,300.7910373,312.0062212,2093,29.07810888,97
4045,L50618,L,303.8392753,312.6288709,1698,35.48401504,71
7882,L50619,L,303.8480836,309.2284126,1286,20.9766885,241
7592,L50620,L,298.4455286,308.7631917,1233,58.56959629,162
4621,L50621,L,300.1546327,311.7567411,1412,57.4683967,246
1171,M18302,M,297.2470503,313.0944574,1224,5.419068055,26
5641,L50623,L,304.4598062,311.814947,2235,8.182126134,88
4918,L50624,L,304.3262848,307.5397236,1691,70.94900591,130
5246,M18305,M,301.2754822,312.8952928,1591,68.50659448,20
9798,H32860,H,302.7006093,308.8394115,2727,40.64314763,120
7307,L50627,L,301.8789215,310.3674582,1562,39.71641811,38
5802,L50628,L,300.7570556,312.4346285,1617,62.9444799,31
6746,L50629,L,295.7908016,307.2259976,2448,13.87917069,253
8264,L50630,L,299.483832,312.0545321,2121,51.38929603,177
2293,L50631,L,301.508034,310.5289187,2552,38.451562,244
4675,H32866,H,301.5332908,312.9360673,1930,57.91449893,84
9426,L50633,L,298.7327281,307.0929603,2797,5.991483208,8
194,L50634,L,303.9635663,309.1075261,2571,46.95042002,49
8922,H32869,H,296.8396847,312.4460291,1610,44.32981407,0
8228,H32870,H,299.9033069,305.8557768,2134,65.01375839,3
5198,M18317,M,301.6561326,306.6088311,2059,53.07368246,3
7189,L50638,L,301.7136494,313.7235782,1701,67.87567409,240
8437,L50639,L,301.2674784,307.9711928,2665,68.39349782,89
3467,L50640,L,297.8326516,313.6018999,1324,33.51433927,246
5213,H32875,H,296.7371004,307.1785056,1256,13.80520494,161
8121,H32876,H,301.150651,308.624865,1369,49.68465014,154
5946,L50643,L,300.8135795,311.7982425,2147,67.40871596,14
5496,L50644,L,296.9500753,311.0280051,1629,9.256603457,108
6320,M18325,M,301.7872801,310.4070914,2672,44.41681428,31
1782,L50646,L,299.4875823,309.9921833,1876,12.17196554,168
9408,L50647,L,301.4433974,312.5318676,2748,5.7653082,198
616,L50648,L,303.0037771,307.6030834,1621,53.27745377,188
4164,M18329,M,296.8615015,309.2840145,2661,53.43865174,62
5275,L50650,L,295.4761328,306.9591636,1547,47.52790568,188
8646,L50651,L,302.4677438,310.5271269,1568,66.35142012,107
1532,L50652,L,300.9092163,307.7294098,2270,9.687804817,107
4562,M18333,M,301.736684,308.4041207,1718,11.46294705,13
6572,M18334,M,303.0110258,309.5171308,2103,66.73817988,22
1776,L50655,L,302.6858606,305.9168417,2180,40.43854521,110
7137,L50656,L,304.1404654,306.4446973,2577,23.67824448,64
9342,L50657,L,300.2306027,311.2560267,2145,57.537828,253
3707,L50658,L,299.7941598,309.1746568,2858,68.91259101,159
5156,M18339,M,298.9973622,312.7048008,1828,54.00311924,40
7406,L50660,L,296.7139576,311.3268432,2534,61.45269304,25
5347,L50661,L,300.5679865,305.7656176,2070,24.36579909,47
83,L50662,L,297.8485152,310.6953699,1612,24.82284617,200
9716,H32897,H,303.7760291,306.4591714,1219,66.70821849,143
6795,L50664,L,300.6653554,312.0255588,2442,48.56201538,158
4937,L50665,L,300.7541297,313.7312123,2850,20.84704832,193
1108,L50666,L,298.5653069,310.0027102,1496,41.95898017,31
2075,M18347,M,295.778302,311.230514,2685,53.73064232,137
