UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,Failure Type Encoded
2430,L49609,L,298.9,308.3,1432,48.9,38,No Failure,1
2431,M17290,M,298.9,308.2,1335,47.8,40,No Failure,1
2432,M17291,M,298.9,308.2,1411,51.3,43,No Failure,1
2433,L49612,L,298.9,308.2,1510,43.5,46,No Failure,1
2434,L49613,L,299.0,308.3,1441,44.0,48,No Failure,1
2435,M17294,M,299.0,308.2,1358,42.7,50,No Failure,1
2436,L49615,L,298.9,308.2,1686,30.4,53,No Failure,1
2437,H31850,H,299.0,308.2,1662,30.4,55,No Failure,1
2438,L49617,L,299.1,308.3,1426,40.1,60,No Failure,1
2439,M17298,M,299.1,308.4,1330,53.6,62,No Failure,1
2440,L49619,L,299.1,308.4,1693,31.6,65,No Failure,1
2441,L49620,L,299.1,308.4,1426,47.9,67,No Failure,1
2442,L49621,L,299.1,308.5,1676,31.0,69,No Failure,1
2443,M17302,M,299.1,308.4,1332,51.7,71,No Failure,1
2444,L49623,L,299.1,308.5,1647,35.0,74,No Failure,1
2445,L49624,L,299.2,308.6,1267,68.2,76,Power Failure,3
2446,H31859,H,299.2,308.7,1375,55.1,78,No Failure,1
2447,L49626,L,299.3,308.6,1422,48.9,83,No Failure,1
2448,L49627,L,299.3,308.7,1408,48.7,85,No Failure,1
2449,L49628,L,299.4,308.9,1440,42.5,87,No Failure,1
2450,L49629,L,299.3,308.8,1772,25.2,89,No Failure,1
2451,L49630,L,299.2,308.7,1492,37.8,91,No Failure,1
2452,L49631,L,299.2,308.7,1650,30.5,93,No Failure,1
2453,M17312,M,299.1,308.6,2329,14.6,95,No Failure,1
2454,L49633,L,299.0,308.6,1648,30.8,98,No Failure,1
2455,L49634,L,299.0,308.6,1653,31.7,100,No Failure,1
2456,L49635,L,299.0,308.6,1946,22.3,102,No Failure,1
2457,L49636,L,299.1,308.6,1555,36.6,104,No Failure,1
2458,L49637,L,299.0,308.6,1661,32.2,106,No Failure,1
2459,L49638,L,299.0,308.6,1434,45.9,108,No Failure,1
2460,L49639,L,299.0,308.6,1297,54.2,110,No Failure,1
2461,L49640,L,299.0,308.6,1466,46.4,112,No Failure,1
2462,M17321,M,298.9,308.6,1517,39.8,114,No Failure,1
2463,L49642,L,298.9,308.5,1742,34.5,117,No Failure,1
2464,L49643,L,298.9,308.5,1580,39.1,119,No Failure,1
2465,M17324,M,298.9,308.5,1534,42.9,121,No Failure,1
2466,L49645,L,298.9,308.6,1481,40.7,124,No Failure,1
2467,L49646,L,299.0,308.6,1429,37.7,126,No Failure,1
2468,M17327,M,298.9,308.6,1574,33.5,128,No Failure,1
2469,M17328,M,298.9,308.6,1524,40.4,131,No Failure,1
2470,L49649,L,299.0,308.7,1507,37.5,134,No Failure,1
2471,L49650,L,298.9,308.5,1467,44.7,136,No Failure,1
2472,L49651,L,298.9,308.4,1301,51.1,138,No Failure,1
2473,L49652,L,298.9,308.5,1429,55.1,140,No Failure,1
2474,M17333,M,298.9,308.5,1555,37.6,142,No Failure,1
2475,L49654,L,298.9,308.5,1503,40.6,145,No Failure,1
2476,L49655,L,298.9,308.5,1459,43.1,147,No Failure,1
2477,H31890,H,298.9,308.4,1449,42.4,149,No Failure,1
2478,L49657,L,298.9,308.5,1387,57.3,154,No Failure,1
2479,M17338,M,298.9,308.5,1456,50.0,156,No Failure,1
2480,L49659,L,299.0,308.5,1604,34.7,159,No Failure,1
2481,L49660,L,299.0,308.6,1734,32.4,161,No Failure,1
2482,L49661,L,299.0,308.6,1378,47.8,163,No Failure,1
2483,L49662,L,298.9,308.7,1504,41.8,165,No Failure,1
2484,M17343,M,298.9,308.7,1402,49.8,167,No Failure,1
2485,H31898,H,298.8,308.6,1524,37.7,170,No Failure,1
2486,L49665,L,298.8,308.6,1593,35.5,175,No Failure,1
2487,M17346,M,298.9,308.7,1772,28.4,177,No Failure,1
2488,H31901,H,298.9,308.6,1623,31.0,180,No Failure,1
2489,L49668,L,298.9,308.7,1356,50.7,185,No Failure,1
2490,H31903,H,298.9,308.7,1500,41.6,187,No Failure,1
2491,H31904,H,299.1,308.8,1566,46.6,192,No Failure,1
2492,L49671,L,299.1,308.9,1445,43.4,197,No Failure,1
2493,H31906,H,299.0,308.8,1382,58.5,199,No Failure,1
2494,M17353,M,299.0,308.8,1418,45.7,204,No Failure,1
2495,L49674,L,299.1,308.8,1329,53.6,207,Overstrain Failure,2
2496,M17355,M,299.1,308.8,1491,41.0,209,No Failure,1
2497,M17356,M,299.2,308.9,1573,37.4,212,No Failure,1
2498,M17357,M,299.2,308.9,1521,42.3,215,No Failure,1
2499,L49678,L,299.1,308.9,1467,47.2,218,No Failure,1
2500,M17359,M,299.1,308.9,1325,48.4,220,No Failure,1
2501,L49680,L,299.1,308.9,1617,32.3,223,No Failure,1
2502,M17361,M,299.1,308.9,1476,42.7,225,No Failure,1
2503,L49682,L,299.2,309.0,1515,48.9,228,Overstrain Failure,2
2504,L49683,L,299.2,309.0,1408,47.2,0,No Failure,1
2505,L49684,L,299.2,309.1,1468,45.6,2,No Failure,1
2506,L49685,L,299.2,309.1,1387,48.7,4,No Failure,1
2507,M17366,M,299.2,309.1,1503,34.7,6,No Failure,1
2508,H31921,H,299.2,309.1,1410,47.1,9,No Failure,1
2509,L49688,L,299.0,308.9,1615,30.6,14,No Failure,1
2510,L49689,L,299.0,308.9,1511,35.9,16,No Failure,1
2511,L49690,L,299.1,309.0,1405,53.8,18,No Failure,1
2512,M17371,M,299.0,308.9,1526,41.1,20,No Failure,1
2513,L49692,L,298.9,308.8,1530,38.3,23,No Failure,1
2514,L49693,L,299.0,308.7,1583,32.5,25,No Failure,1
2515,L49694,L,298.9,308.6,2069,18.7,27,No Failure,1
2516,L49695,L,298.8,308.5,1490,35.0,29,No Failure,1
2517,L49696,L,298.8,308.5,1736,29.0,31,No Failure,1
2518,L49697,L,298.8,308.5,1395,44.4,33,No Failure,1
2519,M17378,M,298.9,308.6,1425,49.6,35,No Failure,1
2520,L49699,L,298.8,308.6,1631,32.4,38,No Failure,1
2521,L49700,L,298.8,308.6,1535,41.2,40,No Failure,1
2522,L49701,L,298.8,308.6,1584,34.4,42,No Failure,1
2523,M17382,M,298.8,308.7,1543,38.2,44,No Failure,1
2524,L49703,L,298.8,308.7,1635,35.2,47,No Failure,1
2525,M17384,M,298.8,308.7,1446,45.5,49,No Failure,1
2526,M17385,M,298.8,308.6,1598,35.1,52,No Failure,1
2527,L49706,L,298.8,308.6,1501,35.0,55,No Failure,1
2528,L49707,L,298.8,308.5,1450,50.8,57,No Failure,1
2529,L49708,L,298.8,308.6,1730,25.9,59,No Failure,1
2530,M17389,M,298.8,308.6,1571,33.7,61,No Failure,1
2531,L49710,L,298.9,308.7,1438,51.7,64,No Failure,1
2532,M17391,M,298.8,308.5,1510,38.7,66,No Failure,1
2533,L49712,L,298.9,308.7,1389,44.9,69,No Failure,1
2534,L49713,L,298.8,308.7,1490,33.6,71,No Failure,1
2535,L49714,L,298.9,308.7,1729,26.6,73,No Failure,1
2536,L49715,L,299.0,308.8,1495,38.4,75,No Failure,1
2537,L49716,L,298.9,308.8,1281,53.9,77,No Failure,1
2538,H31951,H,298.9,308.7,1353,48.1,79,No Failure,1
2539,L49718,L,299.1,308.8,1429,50.1,84,No Failure,1
2540,L49719,L,299.1,308.8,1413,42.1,86,No Failure,1
2541,L49720,L,299.1,308.8,1502,38.3,88,No Failure,1
2542,H31955,H,299.1,308.8,1553,32.6,90,No Failure,1
2543,H31956,H,299.2,308.9,1712,26.4,95,No Failure,1
2544,L49723,L,299.3,309.0,1786,23.5,100,No Failure,1
2545,L49724,L,299.2,309.0,1951,21.4,102,No Failure,1
2546,M17405,M,299.2,309.0,1541,36.3,104,No Failure,1
2547,L49726,L,299.2,309.1,1605,34.3,107,No Failure,1
2548,L49727,L,299.2,309.1,1578,38.1,109,No Failure,1
2549,M17408,M,299.3,309.2,1440,37.5,111,No Failure,1
2550,L49729,L,299.4,309.2,1489,42.3,114,No Failure,1
2551,L49730,L,299.4,309.3,1366,48.4,116,No Failure,1
2552,L49731,L,299.3,309.2,1541,37.2,118,No Failure,1
2553,H31966,H,299.3,309.1,1552,40.7,120,No Failure,1
2554,L49733,L,299.3,309.1,1473,40.3,125,No Failure,1
2555,L49734,L,299.3,309.1,1531,37.9,127,No Failure,1
2556,L49735,L,299.3,309.2,1511,37.2,129,No Failure,1
2557,M17416,M,299.3,309.1,1449,47.9,131,No Failure,1
2558,M17417,M,299.4,309.1,1440,50.0,134,No Failure,1
2559,M17418,M,299.2,309.0,1881,23.9,137,No Failure,1
2560,L49739,L,299.3,309.0,1447,50.4,140,Random Failures,4
2561,M17420,M,299.4,309.1,1326,62.0,142,No Failure,1
2562,L49741,L,299.4,309.2,1607,31.7,145,No Failure,1
2563,L49742,L,299.3,309.1,1551,39.1,147,No Failure,1
2564,L49743,L,299.3,309.1,1496,37.2,149,No Failure,1
2565,L49744,L,299.3,309.1,1493,38.0,151,No Failure,1
2566,L49745,L,299.4,309.1,1304,50.5,153,No Failure,1
2567,M17426,M,299.3,309.0,1420,41.6,155,No Failure,1
2568,L49747,L,299.4,309.1,1766,24.6,158,No Failure,1
2569,L49748,L,299.6,309.2,1450,43.1,160,No Failure,1
2570,H31983,H,299.5,309.2,1872,22.6,162,No Failure,1
2571,L49750,L,299.6,309.2,1713,26.5,167,No Failure,1
2572,M17431,M,299.5,309.2,1497,40.9,169,No Failure,1
2573,M17432,M,299.4,309.1,1352,44.7,172,No Failure,1
2574,L49753,L,299.5,309.2,1499,41.5,175,No Failure,1
2575,L49754,L,299.5,309.3,1972,19.3,177,No Failure,1
2576,L49755,L,299.5,309.3,1422,49.2,179,No Failure,1
2577,L49756,L,299.5,309.3,1523,41.5,181,No Failure,1
2578,L49757,L,299.5,309.4,1563,41.5,183,No Failure,1
2579,L49758,L,299.4,309.3,1391,46.6,185,No Failure,1
2580,L49759,L,299.3,309.1,1795,24.7,187,No Failure,1
2581,L49760,L,299.3,309.1,1293,53.7,189,No Failure,1
2582,L49761,L,299.2,309.1,1345,60.7,191,Overstrain Failure,2
2583,L49762,L,299.2,309.0,1615,33.7,193,No Failure,1
2584,L49763,L,299.2,308.9,1342,50.8,195,No Failure,1
2585,L49764,L,299.1,308.8,1502,46.7,197,No Failure,1
2586,M17445,M,299.0,308.7,1620,35.4,199,No Failure,1
2587,L49766,L,299.0,308.7,1537,42.8,202,No Failure,1
2588,L49767,L,299.0,308.7,2248,16.8,204,No Failure,1
2589,L49768,L,299.0,308.7,1706,28.6,206,No Failure,1
2590,L49769,L,299.0,308.7,2250,16.6,208,No Failure,1
2591,L49770,L,299.0,308.7,1396,48.6,0,No Failure,1
2592,L49771,L,298.9,308.6,1522,46.4,2,No Failure,1
2593,L49772,L,298.9,308.6,1539,45.4,4,No Failure,1
2594,H32007,H,298.9,308.5,1415,54.0,6,No Failure,1
2595,L49774,L,298.8,308.5,1446,37.0,11,No Failure,1
2596,M17455,M,298.8,308.6,1486,41.1,13,No Failure,1
2597,L49776,L,299.0,308.7,1426,38.6,16,No Failure,1
2598,L49777,L,299.0,308.7,1449,38.9,18,No Failure,1
2599,L49778,L,299.1,308.8,1320,67.5,20,Power Failure,3
2600,M17459,M,299.2,308.9,1447,39.6,22,No Failure,1
2601,L49780,L,299.3,309.0,1422,47.3,25,No Failure,1
2602,L49781,L,299.3,309.1,1399,52.1,27,No Failure,1
2603,L49782,L,299.4,309.2,1427,41.5,29,No Failure,1
2604,M17463,M,299.3,309.2,1334,46.3,31,No Failure,1
2605,M17464,M,299.3,309.1,1385,45.6,34,No Failure,1
2606,L49785,L,299.4,309.2,1552,37.4,37,No Failure,1
2607,H32020,H,299.4,309.3,1534,37.5,39,No Failure,1
2608,L49787,L,299.4,309.3,1448,48.6,44,No Failure,1
2609,L49788,L,299.5,309.3,1409,44.7,46,No Failure,1
2610,L49789,L,299.4,309.2,1621,34.5,48,No Failure,1
2611,H32024,H,299.4,309.1,1547,40.9,50,No Failure,1
2612,L49791,L,299.4,309.1,1957,22.1,55,No Failure,1
2613,L49792,L,299.4,309.1,2421,14.2,57,No Failure,1
2614,M17473,M,299.3,309.1,1571,38.3,59,No Failure,1
2615,L49794,L,299.3,309.1,1634,36.8,62,No Failure,1
2616,L49795,L,299.3,309.0,1516,38.7,64,No Failure,1
2617,L49796,L,299.4,309.1,1207,66.5,66,No Failure,1
2618,L49797,L,299.4,309.1,1670,35.9,68,No Failure,1
2619,M17478,M,299.4,309.1,1461,48.6,70,No Failure,1
2620,L49799,L,299.4,309.2,1569,40.8,73,No Failure,1
2621,L49800,L,299.4,309.2,1556,35.7,75,No Failure,1
2622,M17481,M,299.5,309.3,1506,41.5,77,No Failure,1
2623,M17482,M,299.6,309.4,1642,30.3,80,No Failure,1
2624,M17483,M,299.6,309.4,1283,62.1,83,No Failure,1
2625,H32038,H,299.7,309.5,1375,46.8,86,No Failure,1
2626,L49805,L,299.7,309.4,1399,39.9,91,No Failure,1
2627,L49806,L,299.7,309.4,1650,29.8,93,No Failure,1
2628,M17487,M,299.8,309.6,1346,53.2,95,No Failure,1
2629,H32042,H,299.9,309.6,1410,51.2,98,No Failure,1
2630,L49809,L,300.0,309.7,1586,37.8,103,No Failure,1
2631,L49810,L,300.0,309.8,1372,39.6,105,No Failure,1
2632,H32045,H,300.0,309.7,1529,42.4,107,No Failure,1
2633,M17492,M,300.0,309.7,1652,28.6,112,No Failure,1
2634,L49813,L,300.1,309.8,1532,39.8,115,No Failure,1
2635,L49814,L,300.0,309.7,1554,32.0,117,No Failure,1
2636,H32049,H,299.9,309.6,1462,51.0,119,No Failure,1
2637,L49816,L,299.9,309.6,1254,61.3,124,No Failure,1
2638,L49817,L,299.9,309.6,1294,49.7,126,No Failure,1
2639,L49818,L,299.8,309.5,1739,27.5,128,No Failure,1
2640,M17499,M,299.8,309.4,1412,47.8,130,No Failure,1
2641,M17500,M,299.9,309.5,1372,56.2,133,No Failure,1
2642,H32055,H,299.8,309.5,1420,46.7,136,No Failure,1
2643,L49822,L,299.8,309.5,1542,40.3,141,No Failure,1
2644,M17503,M,299.8,309.4,1401,48.1,143,No Failure,1
2645,L49824,L,299.8,309.4,1510,42.5,146,No Failure,1
2646,H32059,H,299.9,309.5,1547,38.5,148,No Failure,1
2647,M17506,M,299.8,309.5,1453,43.2,153,No Failure,1
2648,L49827,L,299.8,309.4,1408,45.6,156,No Failure,1
2649,L49828,L,299.8,309.4,1436,51.6,158,No Failure,1
2650,M17509,M,299.9,309.5,1582,38.2,160,No Failure,1
2651,L49830,L,299.9,309.6,1280,59.3,163,No Failure,1
2652,L49831,L,299.9,309.5,2008,20.4,165,No Failure,1
2653,L49832,L,299.9,309.5,1772,23.5,167,No Failure,1
2654,L49833,L,299.9,309.5,1779,26.1,169,No Failure,1
2655,L49834,L,299.9,309.5,1567,35.5,171,No Failure,1
2656,M17515,M,299.8,309.4,1751,27.0,173,No Failure,1
2657,L49836,L,299.9,309.5,1349,51.3,176,No Failure,1
2658,M17517,M,300.0,309.5,1425,40.8,178,No Failure,1
2659,L49838,L,300.0,309.4,1395,44.5,181,No Failure,1
2660,H32073,H,299.8,309.3,1595,32.1,183,No Failure,1
2661,L49840,L,299.8,309.3,1291,56.4,188,No Failure,1
2662,M17521,M,299.9,309.4,1509,42.8,190,No Failure,1
2663,M17522,M,299.9,309.4,1483,38.1,193,No Failure,1
2664,L49843,L,299.9,309.3,1620,31.1,196,No Failure,1
2665,M17524,M,299.9,309.4,1487,42.2,198,No Failure,1
2666,L49845,L,299.8,309.4,2256,15.9,201,No Failure,1
2667,H32080,H,299.7,309.2,1691,27.7,203,No Failure,1
2668,M17527,M,299.8,309.3,1663,35.2,208,No Failure,1
2669,M17528,M,299.8,309.3,1640,31.1,211,No Failure,1
2670,H32083,H,299.7,309.3,1494,37.8,214,No Failure,1
2671,L49850,L,299.8,309.4,1467,46.2,219,No Failure,1
2672,M17531,M,299.7,309.3,1399,41.9,221,Tool Wear Failure,5
2673,L49852,L,299.7,309.3,1445,42.6,0,No Failure,1
2674,L49853,L,299.8,309.4,1480,40.9,2,No Failure,1
2675,L49854,L,299.7,309.3,1546,37.2,4,No Failure,1
2676,L49855,L,299.7,309.3,1574,35.8,6,No Failure,1
2677,L49856,L,299.7,309.3,1592,34.2,8,No Failure,1
2678,L49857,L,299.8,309.5,1495,39.6,10,No Failure,1
2679,L49858,L,299.8,309.6,1447,43.1,12,No Failure,1
2680,L49859,L,299.8,309.5,1476,44.4,14,No Failure,1
2681,L49860,L,299.8,309.5,1641,27.1,16,No Failure,1
2682,L49861,L,299.8,309.5,1545,32.2,18,No Failure,1
2683,M17542,M,299.9,309.6,1364,44.4,20,No Failure,1
2684,L49863,L,299.8,309.5,1590,28.5,23,No Failure,1
2685,L49864,L,299.8,309.4,1460,37.4,25,No Failure,1
2686,L49865,L,299.8,309.4,1609,32.5,27,No Failure,1
2687,L49866,L,299.8,309.4,1633,27.5,29,No Failure,1
2688,L49867,L,299.9,309.4,1348,52.8,31,No Failure,1
2689,L49868,L,299.9,309.4,1322,53.9,33,No Failure,1
2690,L49869,L,300.0,309.5,1641,30.1,35,No Failure,1
2691,L49870,L,300.0,309.5,1728,26.0,37,No Failure,1
2692,L49871,L,300.0,309.6,1431,47.7,39,No Failure,1
2693,L49872,L,300.1,309.7,1641,30.4,41,No Failure,1
2694,M17553,M,300.1,309.6,1622,36.1,43,No Failure,1
2695,M17554,M,300.1,309.6,1625,38.0,46,No Failure,1
2696,L49875,L,300.0,309.5,1869,22.7,49,No Failure,1
2697,L49876,L,300.0,309.6,1452,46.0,51,No Failure,1
2698,L49877,L,300.0,309.6,1618,28.7,53,No Failure,1
2699,L49878,L,300.0,309.4,2010,20.0,55,No Failure,1
2700,L49879,L,299.9,309.4,1363,60.9,57,No Failure,1
2701,L49880,L,299.9,309.3,1473,40.4,59,No Failure,1
2702,L49881,L,299.9,309.2,1333,50.8,61,No Failure,1
2703,L49882,L,299.8,309.2,1760,25.9,63,No Failure,1
2704,M17563,M,299.8,309.2,1372,58.2,65,No Failure,1
2705,M17564,M,299.7,309.2,1608,34.4,68,No Failure,1
2706,L49885,L,299.7,309.2,1326,64.8,71,No Failure,1
2707,M17566,M,299.6,309.1,1560,37.1,73,No Failure,1
2708,M17567,M,299.6,309.0,1539,36.1,76,No Failure,1
2709,L49888,L,299.6,309.1,2266,15.3,79,No Failure,1
2710,L49889,L,299.6,309.1,1641,35.8,81,No Failure,1
2711,L49890,L,299.6,309.1,1574,39.2,83,No Failure,1
2712,L49891,L,299.6,309.1,1407,50.6,85,No Failure,1
2713,H32126,H,299.7,309.2,1302,55.5,87,No Failure,1
2714,M17573,M,299.6,309.2,1651,30.8,92,No Failure,1
2715,M17574,M,299.6,309.1,1366,55.2,95,No Failure,1
2716,M17575,M,299.5,309.0,1701,28.6,98,No Failure,1
2717,L49896,L,299.5,309.0,1498,44.6,101,No Failure,1
2718,M17577,M,299.5,309.1,1422,45.3,103,No Failure,1
2719,L49898,L,299.5,309.1,1357,47.3,106,No Failure,1
2720,L49899,L,299.5,309.2,1690,29.2,108,No Failure,1
2721,L49900,L,299.6,309.2,1559,39.1,110,No Failure,1
2722,M17581,M,299.6,309.3,1553,32.4,112,No Failure,1
2723,L49902,L,299.6,309.3,1558,34.8,115,No Failure,1
2724,L49903,L,299.7,309.4,1362,51.9,117,No Failure,1
2725,M17584,M,299.8,309.3,1470,42.7,119,No Failure,1
2726,L49905,L,299.8,309.4,1555,34.8,122,No Failure,1
2727,M17586,M,299.8,309.4,1423,42.9,124,No Failure,1
2728,L49907,L,299.7,309.3,1434,38.5,127,No Failure,1
2729,L49908,L,299.7,309.3,1779,25.5,129,No Failure,1
2730,L49909,L,299.7,309.3,1417,54.6,131,No Failure,1
2731,L49910,L,299.6,309.2,1425,45.9,133,No Failure,1
2732,M17591,M,299.7,309.2,1597,32.9,135,No Failure,1
2733,L49912,L,299.7,309.2,1346,57.4,138,No Failure,1
2734,L49913,L,299.7,309.2,1422,40.4,140,No Failure,1
2735,H32148,H,299.7,309.2,1572,32.8,142,No Failure,1
2736,L49915,L,299.7,309.2,1412,45.4,147,No Failure,1
2737,M17596,M,299.7,309.1,1576,36.4,149,No Failure,1
2738,M17597,M,299.7,309.1,1508,41.2,152,No Failure,1
2739,M17598,M,299.8,309.1,1496,44.4,155,No Failure,1
2740,L49919,L,299.8,309.2,1572,35.4,158,No Failure,1
2741,L49920,L,299.6,309.0,1525,42.8,160,No Failure,1
2742,L49921,L,299.6,309.0,1378,51.9,162,No Failure,1
2743,L49922,L,299.6,309.1,1369,51.4,164,No Failure,1
2744,L49923,L,299.6,309.1,1476,45.3,166,No Failure,1
2745,L49924,L,299.7,309.2,1620,30.0,168,No Failure,1
2746,M17605,M,299.7,309.1,1603,38.5,170,No Failure,1
2747,L49926,L,299.7,309.2,1411,46.1,173,No Failure,1
2748,L49927,L,299.7,309.2,1616,31.6,175,No Failure,1
2749,L49928,L,299.7,309.2,1631,35.1,177,No Failure,1
2750,M17609,M,299.7,309.2,1685,28.9,179,No Failure,1
2751,H32164,H,299.7,309.2,1456,40.6,182,No Failure,1
2752,L49931,L,299.7,309.1,1417,50.1,187,No Failure,1
2753,M17612,M,299.7,309.1,1851,24.7,189,No Failure,1
2754,L49933,L,299.7,309.1,1715,27.8,192,No Failure,1
2755,H32168,H,299.6,309.1,1630,32.3,194,No Failure,1
2756,L49935,L,299.7,309.2,1478,38.8,199,No Failure,1
2757,L49936,L,299.7,309.2,1781,29.6,201,No Failure,1
2758,L49937,L,299.8,309.2,1439,36.1,203,No Failure,1
2759,M17618,M,299.7,309.2,1412,45.3,205,No Failure,1
2760,L49939,L,299.7,309.1,1483,41.1,208,No Failure,1
2761,L49940,L,299.8,309.2,1400,42.6,210,No Failure,1
2762,L49941,L,299.8,309.3,1299,65.1,212,Overstrain Failure,2
2763,L49942,L,299.8,309.2,1479,44.4,214,No Failure,1
2764,L49943,L,299.8,309.2,1491,47.5,216,No Failure,1
2765,M17624,M,299.9,309.3,1389,52.8,0,No Failure,1
2766,M17625,M,299.9,309.4,1399,54.8,3,No Failure,1
2767,M17626,M,299.9,309.4,1889,26.0,6,No Failure,1
2768,L49947,L,300.0,309.5,1925,21.9,9,No Failure,1
2769,L49948,L,300.0,309.5,1675,30.2,11,No Failure,1
2770,M17629,M,300.0,309.6,1477,38.1,13,No Failure,1
2771,L49950,L,300.0,309.6,1364,45.9,16,No Failure,1
2772,L49951,L,299.9,309.5,1451,39.4,18,No Failure,1
2773,L49952,L,299.9,309.4,1467,41.2,20,No Failure,1
2774,L49953,L,299.9,309.4,1858,22.5,22,No Failure,1
2775,L49954,L,300.1,309.4,1559,39.7,24,No Failure,1
2776,L49955,L,300.1,309.4,1560,47.7,26,No Failure,1
2777,L49956,L,300.1,309.4,1453,47.6,28,No Failure,1
2778,L49957,L,300.1,309.4,1464,41.7,30,No Failure,1
2779,L49958,L,300.0,309.4,1308,50.2,32,No Failure,1
2780,L49959,L,300.1,309.5,1353,50.9,34,No Failure,1
2781,M17640,M,300.2,309.6,1556,35.8,36,No Failure,1
2782,L49961,L,300.2,309.5,2183,17.8,39,No Failure,1
2783,M17642,M,300.2,309.6,1491,41.8,41,No Failure,1
2784,M17643,M,300.2,309.6,1528,35.1,44,No Failure,1
2785,L49964,L,300.2,309.6,1430,52.7,47,No Failure,1
2786,L49965,L,300.2,309.5,1495,32.6,49,No Failure,1
2787,M17646,M,300.2,309.5,1630,28.3,51,No Failure,1
2788,M17647,M,300.3,309.6,1524,38.4,54,No Failure,1
2789,L49968,L,300.3,309.6,1326,52.4,57,No Failure,1
2790,H32203,H,300.3,309.5,1438,44.0,59,No Failure,1
2791,L49970,L,300.4,309.6,1356,45.9,64,No Failure,1
2792,H32205,H,300.4,309.6,1416,43.3,66,No Failure,1
2793,L49972,L,300.4,309.7,1584,32.6,71,No Failure,1
2794,L49973,L,300.3,309.6,1597,31.8,73,No Failure,1
2795,L49974,L,300.4,309.6,1553,43.9,75,No Failure,1
2796,M17655,M,300.3,309.5,1405,49.4,77,No Failure,1
2797,L49976,L,300.2,309.5,1539,35.3,80,No Failure,1
2798,M17657,M,300.3,309.6,1398,53.7,82,No Failure,1
2799,L49978,L,300.3,309.6,1568,39.6,85,No Failure,1
2800,L49979,L,300.3,309.6,1404,44.6,87,No Failure,1
2801,M17660,M,300.2,309.5,1500,45.7,89,No Failure,1
2802,M17661,M,300.2,309.5,1642,28.8,92,No Failure,1
2803,M17662,M,300.3,309.6,1509,46.6,95,No Failure,1
2804,L49983,L,300.2,309.5,1343,50.2,98,No Failure,1
2805,L49984,L,300.1,309.5,1450,40.1,100,No Failure,1
2806,L49985,L,300.0,309.4,1460,43.5,102,No Failure,1
2807,L49986,L,300.0,309.3,1364,41.2,104,No Failure,1
2808,M17667,M,299.9,309.3,1452,41.9,106,No Failure,1
2809,L49988,L,299.9,309.3,1471,41.8,109,No Failure,1
2810,L49989,L,299.9,309.2,1598,34.6,111,No Failure,1
2811,L49990,L,299.8,309.1,1772,24.8,113,No Failure,1
2812,L49991,L,299.9,309.2,1761,25.6,115,No Failure,1
2813,M17672,M,300.0,309.3,1413,40.7,117,No Failure,1
2814,L49993,L,300.0,309.3,1887,22.6,120,No Failure,1
2815,L49994,L,300.0,309.3,1395,56.5,122,No Failure,1
2816,M17675,M,300.1,309.4,1569,31.6,124,No Failure,1
2817,L49996,L,300.1,309.4,1434,47.3,127,No Failure,1
2818,L49997,L,300.2,309.5,1417,41.1,129,No Failure,1
2819,L49998,L,300.2,309.5,1729,28.4,131,No Failure,1
2820,L49999,L,300.2,309.5,1356,51.1,133,No Failure,1
2821,L50000,L,300.2,309.5,1436,48.8,135,No Failure,1
2822,M17681,M,300.3,309.6,1419,42.5,137,No Failure,1
2823,L50002,L,300.3,309.6,1593,38.1,140,No Failure,1
2824,M17683,M,300.3,309.5,1320,62.2,142,No Failure,1
2825,M17684,M,300.3,309.5,1448,42.4,145,No Failure,1
2826,L50005,L,300.3,309.4,1470,33.5,148,No Failure,1
2827,M17686,M,300.3,309.4,1612,33.1,150,No Failure,1
2828,L50007,L,300.4,309.4,1412,51.6,153,No Failure,1
2829,M17688,M,300.4,309.4,1875,23.9,155,No Failure,1
2830,L50009,L,300.3,309.3,1612,36.0,158,No Failure,1
2831,M17690,M,300.4,309.3,1411,41.6,160,No Failure,1
2832,M17691,M,300.3,309.2,1490,47.9,163,No Failure,1
2833,M17692,M,300.4,309.3,1467,40.3,166,No Failure,1
2834,L50013,L,300.3,309.2,1807,26.4,169,No Failure,1
2835,L50014,L,300.3,309.1,1368,46.0,171,No Failure,1
2836,L50015,L,300.3,309.2,1572,32.0,173,No Failure,1
2837,M17696,M,300.3,309.1,1458,44.3,175,No Failure,1
2838,L50017,L,300.3,309.1,1699,30.3,178,No Failure,1
2839,L50018,L,300.3,309.3,1478,39.5,180,No Failure,1
2840,M17699,M,300.4,309.4,1362,42.1,182,No Failure,1
2841,H32254,H,300.4,309.4,1487,38.9,185,No Failure,1
2842,L50021,L,300.3,309.4,1705,29.4,190,No Failure,1
2843,L50022,L,300.3,309.3,1345,53.5,192,No Failure,1
2844,L50023,L,300.3,309.2,1532,40.2,194,No Failure,1
2845,L50024,L,300.3,309.2,1650,35.2,196,No Failure,1
2846,L50025,L,300.3,309.2,1398,54.4,198,No Failure,1
2847,L50026,L,300.3,309.2,1412,44.8,200,No Failure,1
2848,L50027,L,300.4,309.3,1525,39.6,202,No Failure,1
2849,M17708,M,300.3,309.3,1391,57.9,204,No Failure,1
2850,L50029,L,300.4,309.3,1766,28.2,207,No Failure,1
